buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
95.0,5,75.0,3,32,23.678393655614613
81.0,3,76.0,3,6,6.0
80.0,2,76.0,2,18,13.14572963244186
79.0,7,76.0,6,12,12.346733597682725
79.0,7,76.0,1,37,26.94472566720099
78.0,5,76.0,1,27,19.718594448662788
79.0,4,76.0,3,62,42.92965212745016
79.0,3,75.0,3,222,147.10554290053153
79.0,7,75.0,3,185,124.32162040552323
79.0,3,75.0,2,182,120.62815321015779
78.0,9,75.0,3,164,111.29649315222589
80.0,6,76.0,3,51,36.437188897325576
80.0,10,75.0,1,53,38.43718889732557
80.0,5,76.0,2,43,30.517590483421923
80.0,10,76.0,2,43,32.25125847183554
80.0,3,76.0,3,31,22.33166005793189
80.0,5,76.0,12,41,32.67839365561461
81.0,14,77.0,6,30,26.532664023172757
81.0,19,77.0,1,30,26.532664023172757
80.0,11,77.0,1,29,23.105528839393685
80.0,16,77.0,1,29,24.839196827807307
80.0,7,78.0,1,41,29.5577912764701
82.0,3,78.0,1,71,47.76884895525747
81.0,2,76.0,2,47,32.090455299642855
81.0,3,79.0,1,47,32.090455299642855
79.0,4,77.0,3,53,37.050254506594676
80.0,5,77.0,3,50,35.437188897325576
80.0,6,77.0,8,21,18.572864816220928
78.0,1,76.0,5,70,47.80904974830564
79.0,10,76.0,8,70,51.96985292049833
80.0,10,77.0,3,80,56.76884895525747
80.0,10,77.0,5,86,61.38191456452657
81.0,16,78.0,6,57,44.86432408110465
81.0,16,78.0,3,57,43.82412328805648
79.0,1,77.0,5,11,9.266332011586378
79.0,2,77.0,6,11,9.959799206951827
79.0,7,75.0,9,15,15.346733597682725
79.0,1,76.0,11,15,13.959799206951828
79.0,2,76.0,17,53,41.21105767878737
79.0,3,76.0,17,53,41.55779127647009
79.0,8,76.0,17,73,56.356787311229226
78.0,3,76.0,3,96,64.79397620855481
79.0,6,77.0,1,44,31.170856885739198
80.0,5,77.0,1,22,16.45226243707641
80.0,10,77.0,2,25,20.492463230124585
79.0,11,76.0,8,41,33.37186085098006
80.0,11,77.0,6,180,123.48242357771592
80.0,10,77.0,2,180,121.74875558930229
77.0,4,75.0,4,39,28.25125847183554
77.0,78,74.0,2,39,53.2160775049917
75.0,1,73.0,7,36,26.29145926488372
76.0,78,73.0,5,13,37.271351837790704
75.0,63,73.0,2,27,40.17587671194353
76.0,5,72.0,7,26,21.14572963244186
76.0,6,72.0,8,40,30.98492646024917
76.0,5,74.0,1,40,28.211057678787373
75.0,1,73.0,6,19,14.839196827807307
78.0,5,74.0,6,19,16.226131218538207
76.0,8,73.0,1,20,16.18593042549003
76.0,3,73.0,6,20,16.18593042549003
76.0,4,73.0,17,50,39.944725667201
76.0,11,74.0,1,40,30.29145926488372
76.0,5,74.0,1,40,28.211057678787373
76.0,5,73.0,1,41,28.864324081104648
74.0,8,72.0,2,18,15.226131218538205
74.0,9,72.0,6,17,16.30653280463455
74.0,9,72.0,1,50,36.13065609269103
73.0,9,71.0,24,29,30.386934390730897
75.0,18,73.0,20,38,38.0
74.0,1,71.0,17,13,14.733667988413622
74.0,1,71.0,21,13,16.12060237914452
76.0,10,71.0,26,79,64.09045529964285
75.0,11,71.0,32,110,86.76884895525747
76.0,3,72.0,32,63,53.29145926488371
76.0,9,73.0,12,55,43.21105767878737
75.0,8,73.0,7,55,41.13065609269103
76.0,9,73.0,16,33,30.226131218538203
76.0,3,73.0,16,33,28.145729632441856
75.0,2,72.0,11,36,28.02512725329734
74.0,2,72.0,5,52,36.396988104277405
75.0,15,73.0,1,52,39.51759048342193
75.0,25,72.0,2,103,76.64824657611295
75.0,21,71.0,27,52,50.6130656092691
75.0,26,71.0,44,52,58.241204758289044
74.0,8,71.0,38,21,29.66833994206811
73.0,9,70.0,43,23,33.05527433279901
73.0,9,70.0,45,23,33.74874152816446
75.0,14,72.0,32,41,42.73366798841362
75.0,14,72.0,37,71,64.06532804634551
73.0,5,71.0,5,17,14.572864816220928
73.0,5,70.0,5,17,14.572864816220928
73.0,10,70.0,2,22,18.532664023172757
74.0,11,71.0,2,24,20.18593042549003
74.0,6,71.0,2,74,51.11558255294019
73.0,10,70.0,17,47,40.06532804634551
74.0,37,71.0,5,64,56.37186085098006
73.0,8,71.0,1,26,20.105528839393685
72.0,9,70.0,2,87,60.648246576112946
75.0,32,71.0,7,113,87.3417137714784
74.0,5,70.0,22,113,83.18091059928571
74.0,5,70.0,21,33,30.572864816220928
74.0,5,70.0,26,33,32.30653280463455
73.0,37,71.0,4,106,83.46231615062291
73.0,27,71.0,4,106,79.99498017379567
74.0,20,71.0,6,7,13.587938355971762
74.0,25,70.0,6,65,53.21105767878738
73.0,26,70.0,15,34,36.42713518377907
74.0,31,71.0,10,79,65.82412328805647
74.0,36,71.0,5,70,59.944725667201
73.0,26,70.0,10,47,43.18593042549003
