buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
82.0,1,76.0,7,33,22.665238728239494
78.0,1,71.0,7,64,40.85013475125646
82.0,27,72.0,7,64,51.59828647388739
84.0,12,78.0,45,7,27.669522543521012
81.0,2,77.0,4,7,6.586609549129579
85.0,12,79.0,45,16,32.94900848568723
82.0,2,78.0,4,16,11.866095491295798
85.0,2,82.0,1,16,10.625924138684537
85.0,1,80.0,3,16,11.039314589554957
84.0,3,81.0,1,53,32.743867907349404
85.0,3,82.0,1,61,37.436744300386046
85.0,3,81.0,1,104,62.660954912957976
84.0,3,81.0,1,21,13.972362335202856
85.0,4,80.0,7,75,48.543011144293104
85.0,4,80.0,7,72,46.78318249690437
84.0,2,81.0,3,18,12.625924138684537
83.0,2,80.0,3,68,41.95640159516353
84.0,1,82.0,7,216,130.0147862189526
85.0,1,82.0,7,197,118.86920478549057
85.0,3,82.0,2,142,85.36550823075243
85.0,1,82.0,12,42,30.011676924757815
85.0,1,82.0,13,42,30.42506737562823
84.0,1,81.0,12,89,57.58232573384806
84.0,1,81.0,13,89,57.99571618471848
85.0,3,81.0,1,41,25.70455331779445
85.0,3,82.0,4,34,22.838457826498654
84.0,3,81.0,4,31,21.078629179109914
85.0,3,81.0,4,56,35.743867907349404
85.0,7,81.0,1,21,15.625924138684537
84.0,7,81.0,1,10,9.17321909825916
84.0,2,81.0,14,30,24.212533687814116
84.0,2,81.0,11,30,22.972362335202856
84.0,2,81.0,14,25,21.279485942166218
84.0,2,81.0,11,25,20.03931458955496
84.0,10,79.0,10,43,33.492019629980334
85.0,10,81.0,10,79,54.609963398645206
84.0,2,81.0,9,44,30.35811512127613
84.0,2,81.0,9,38,26.838457826498654
84.0,10,80.0,5,36,27.318800531721177
84.0,5,81.0,6,30,22.145581433462013
85.0,5,82.0,6,105,66.1412976181805
85.0,10,82.0,6,108,69.96807851992133
84.0,10,81.0,6,47,34.184896023016975
84.0,15,81.0,8,55,41.77150557214655
84.0,15,81.0,8,47,37.07862917910991
85.0,15,82.0,5,96,64.58232573384807
85.0,15,82.0,5,95,63.99571618471848
84.0,15,81.0,6,54,40.35811512127613
84.0,15,81.0,10,59,44.94472467040571
85.0,1,83.0,5,55,34.743867907349404
84.0,2,82.0,5,45,29.29116286692403
84.0,2,82.0,10,23,18.45270504042538
84.0,2,82.0,10,32,23.732190982591597
85.0,6,82.0,10,38,28.905410080850753
84.0,6,81.0,10,39,29.492019629980334
85.0,3,81.0,2,64,39.609963398645206
85.0,10,82.0,1,61,40.33047745647899
85.0,5,83.0,4,21,16.03931458955496
84.0,5,81.0,3,39,26.18489602301697
84.0,5,81.0,3,32,22.078629179109914
85.0,10,82.0,3,19,16.519657294777478
85.0,10,82.0,3,20,17.106266843907058
85.0,3,82.0,10,32,24.145581433462013
85.0,3,82.0,10,26,20.62592413868454
85.0,23,81.0,24,52,49.9330477456479
85.0,1,83.0,12,28,21.799143236943692
89.0,19,86.0,5,66,48.63760106344235
89.0,25,86.0,5,36,33.51965729477748
89.0,12,86.0,3,20,17.933047745647897
89.0,7,86.0,2,33,23.078629179109914
88.0,2,86.0,4,25,17.145581433462016
89.0,12,87.0,1,25,20.039314589554955
88.0,12,86.0,1,17,15.346438196518319
89.0,7,87.0,36,19,28.921370820890083
89.0,10,87.0,41,19,32.22849442785345
88.0,7,86.0,36,47,45.34643819651832
88.0,10,86.0,41,47,48.65356180348168
89.0,25,87.0,2,40,34.62592413868454
89.0,5,87.0,7,40,28.42506737562823
89.0,25,87.0,2,31,29.346438196518317
89.0,5,87.0,7,31,23.145581433462013
89.0,9,87.0,5,31,23.972362335202856
90.0,29,87.0,10,31,34.30712360696336
89.0,9,86.0,5,53,36.87777241605361
90.0,29,86.0,10,53,47.212533687814116
92.0,17,88.0,1,45,33.838457826498654
91.0,17,89.0,1,17,17.41339045087042
91.0,5,87.0,11,47,34.184896023016975
90.0,5,87.0,11,36,27.732190982591597
92.0,5,90.0,53,20,35.708837133075974
91.0,5,89.0,53,46,50.960685410445045
92.0,4,89.0,53,54,55.240171352611256
92.0,4,89.0,53,50,52.89373315609294
92.0,4,90.0,53,25,38.22849442785345
91.0,1,89.0,31,33,32.58660954912958
91.0,1,89.0,31,49,41.97236233520286
92.0,2,90.0,31,37,35.34643819651832
92.0,25,90.0,33,39,46.85441856653799
91.0,5,89.0,5,39,27.01167692475781
93.0,25,90.0,33,51,53.89373315609294
92.0,5,89.0,5,51,34.05099151431277
91.0,2,89.0,10,32,23.732190982591597
91.0,2,89.0,10,36,26.078629179109917
90.0,2,88.0,5,51,32.81082016170151
90.0,2,88.0,5,36,24.011676924757815
91.0,11,89.0,2,45,31.771505572146552
91.0,6,89.0,2,45,29.70455331779445
92.0,11,90.0,2,48,33.53133421953529
92.0,15,88.0,29,48,46.34643819651832
90.0,1,88.0,28,37,33.692876393036634
91.0,7,88.0,28,35,35.0
92.0,2,88.0,30,47,40.79914323694369
92.0,12,89.0,25,33,34.65356180348168
92.0,7,89.0,25,22,26.1339045087042
92.0,7,89.0,25,34,33.17321909825916
90.0,4,88.0,18,19,20.240171352611263
91.0,4,88.0,18,77,54.263525202126885
92.0,6,89.0,5,47,32.11794376866487
92.0,11,89.0,5,47,34.184896023016975
92.0,6,89.0,5,39,27.42506737562823
92.0,11,89.0,5,39,29.492019629980334
90.0,5,88.0,20,37,32.039314589554955
90.0,5,88.0,20,35,30.8660954912958
90.0,5,88.0,5,35,24.665238728239494
90.0,6,87.0,13,29,24.866095491295795
90.0,6,87.0,13,31,26.039314589554955
90.0,11,87.0,13,16,19.307123606963362
91.0,11,88.0,13,52,40.42506737562823
90.0,5,88.0,10,48,34.35811512127613
91.0,21,87.0,10,83,61.50369655473814
90.0,5,87.0,5,84,53.409106635588905
89.0,5,86.0,18,32,28.279485942166218
89.0,5,86.0,18,35,30.03931458955496
90.0,21,88.0,33,37,44.02763766479714
89.0,21,87.0,33,47,49.893733156092935
90.0,61,87.0,38,47,68.49630344526186
90.0,61,87.0,38,27,56.76411246267026
90.0,56,87.0,43,53,72.01596074003933
90.0,61,87.0,43,52,73.49630344526184
91.0,57,88.0,5,32,44.40171352611261
91.0,57,88.0,5,32,44.40171352611261
91.0,68,87.0,38,48,71.97664615048438
91.0,68,87.0,38,49,72.56325569961396
91.0,67,87.0,38,48,71.56325569961396
91.0,67,87.0,38,43,68.63020795396605
91.0,32,88.0,11,35,38.30712360696336
90.0,32,87.0,11,54,49.45270504042537
91.0,37,88.0,6,48,45.9330477456479
91.0,37,88.0,6,40,41.240171352611256
91.0,37,87.0,6,88,69.39742971083109
90.0,32,87.0,16,57,53.27948594216622
90.0,37,87.0,11,69,60.31880053172117
90.0,37,87.0,11,58,53.866095491295795
90.0,37,87.0,11,52,50.34643819651832
90.0,37,87.0,11,75,63.838457826498654
90.0,37,87.0,11,72,62.07862917910992
90.0,35,87.0,11,80,65.94472467040572
90.0,5,87.0,34,16,25.507980370019666
90.0,5,87.0,34,46,43.10626684390706
89.0,5,86.0,39,53,49.27948594216622
91.0,35,86.0,34,89,80.73219098259159
91.0,40,87.0,3,90,70.57064880909024
90.0,30,87.0,16,62,55.385752786073276
90.0,30,87.0,16,62,55.385752786073276
90.0,35,87.0,31,61,63.0669522543521
90.0,10,87.0,15,22,23.24017135261126
90.0,1,88.0,20,60,43.87777241605361
89.0,1,87.0,30,51,42.7321909825916
89.0,1,87.0,35,53,45.97236233520285
89.0,1,87.0,35,48,43.039314589554955
89.0,27,86.0,35,16,35.01596074003933
89.0,2,86.0,41,39,40.65356180348168
90.0,10,87.0,35,46,45.58660954912958
90.0,10,87.0,35,30,36.20085676305631
89.0,2,86.0,45,33,38.787466312185884
89.0,2,86.0,46,34,39.787466312185884
89.0,2,86.0,45,34,39.37407586131546
