buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
72.0,5,68.0,10,5,8.255627101913387
70.0,5,68.0,1,5,5.325562710191338
70.0,5,65.0,10,34,27.81430850636457
68.0,5,65.0,1,34,24.88424411464252
70.0,7,66.0,5,14,13.348874579617323
69.0,3,66.0,5,14,12.046623738851968
70.0,7,66.0,5,11,11.325562710191338
69.0,3,66.0,5,11,10.023311869425985
69.0,3,65.0,6,12,11.023311869425983
69.0,8,65.0,12,12,14.604501681530706
69.0,3,65.0,6,12,11.023311869425983
69.0,8,65.0,12,12,14.604501681530706
68.0,1,65.0,12,16,15.023311869425985
69.0,1,66.0,2,22,15.814308506364567
71.0,7,68.0,1,42,30.93086785349449
70.0,3,65.0,10,8,9.627813550956692
69.0,5,66.0,5,14,12.697749159234645
69.0,5,66.0,5,15,13.372186449043307
69.0,3,65.0,22,33,30.395498318469294
69.0,3,65.0,22,35,31.744372898086617
69.0,10,66.0,22,23,25.93006439172205
69.0,10,66.0,19,26,26.976688130574015
69.0,10,66.0,22,28,29.302250840765353
69.0,10,66.0,22,30,30.651125420382677
69.0,10,66.0,40,36,40.55787794267874
69.0,10,66.0,43,36,41.534566073252755
69.0,10,66.0,40,41,43.93006439172204
69.0,10,66.0,43,41,44.90675252229606
69.0,10,67.0,7,46,36.55868140445118
69.0,10,67.0,7,50,39.256430563685825
69.0,10,67.0,7,52,40.60530514330315
69.0,7,66.0,7,61,45.698552621007096
70.0,37,66.0,10,62,57.11655934712992
69.0,2,67.0,9,52,38.65192888215512
70.0,31,66.0,11,74,63.581993273877174
69.0,25,66.0,15,23,28.534566073252755
69.0,5,66.0,41,30,35.20900336306141
69.0,5,66.0,51,31,39.13906775478346
69.0,5,66.0,53,26,36.418006726122826
69.0,5,66.0,54,26,36.74356943631417
69.0,3,66.0,54,23,34.06913214650551
69.0,6,66.0,54,34,42.4646304649748
69.0,6,66.0,54,51,53.93006439172204
69.0,4,66.0,66,46,53.81350504459212
69.0,4,66.0,5,58,42.04742720062441
69.0,4,66.0,15,68,52.04742720062441
69.0,4,66.0,27,61,51.23311869425984
69.0,2,66.0,27,62,51.256430563685825
68.0,3,66.0,37,33,35.27893897133937
69.0,32,66.0,48,36,50.3247592484189
69.0,32,66.0,48,40,53.02250840765355
69.0,12,66.0,53,38,46.79019317516614
69.0,5,66.0,53,41,46.53456607325275
69.0,12,66.0,46,42,47.20900336306141
69.0,7,67.0,6,62,46.04742720062441
69.0,7,67.0,9,63,47.698552621007096
69.0,7,67.0,10,63,48.02411533119843
69.0,7,67.0,10,62,47.349678041389765
69.0,2,66.0,28,135,100.81591542990945
70.0,38,66.0,35,131,112.11736280890236
69.0,2,67.0,33,83,67.37298991081575
68.0,10,66.0,36,82,70.2797424331118
68.0,10,65.0,37,138,108.37379337258818
