buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
48.0,4,42.0,4,193,106.74567825910108
47.0,4,44.0,1,31,18.877770998576366
47.0,4,43.0,7,93,54.76835468781778
47.0,4,43.0,17,93,59.43075045759609
47.0,3,43.0,24,100,65.96451088061826
46.0,3,43.0,25,73,52.01921903599756
46.0,3,43.0,23,71,50.01921903599756
45.0,1,43.0,24,71,49.552979459019724
46.0,8,43.0,19,63,46.21537522879805
46.0,3,44.0,1,63,35.491864958307914
46.0,8,43.0,19,71,50.48545861297539
46.0,3,44.0,1,71,39.761948342485255
47.0,5,45.0,3,56,33.62050030506406
46.0,2,43.0,14,41,29.3440105755542
46.0,2,43.0,24,38,32.40512507626602
47.0,2,44.0,19,24,22.601281269066504
47.0,2,44.0,20,21,21.46623957697783
46.0,2,44.0,6,165,91.80038641448037
46.0,2,44.0,5,139,77.45637583892616
46.0,15,44.0,5,144,86.18629245474882
46.0,15,43.0,25,142,94.44356314826113
46.0,15,43.0,26,150,99.1798861094163
46.0,15,44.0,3,154,90.59141753101484
46.0,15,44.0,4,155,91.59141753101486
45.0,20,42.0,26,77,62.54657311368721
45.0,9,43.0,4,69,42.89058368924141
45.0,9,43.0,14,69,47.55297945901973
45.0,3,43.0,8,64,39.289302420174906
45.0,3,43.0,8,51,32.350416920886715
45.0,3,43.0,8,49,31.282896074842384
46.0,3,43.0,25,146,90.98372991661583
46.0,3,43.0,29,146,92.84868822452715
46.0,3,43.0,25,148,92.05125076266016
46.0,3,43.0,29,148,93.91620907057148
46.0,5,43.0,2,83,47.56579214968477
45.0,5,43.0,2,46,27.816656497864553
46.0,18,42.0,20,55,47.07392719137685
45.0,1,43.0,10,66,40.35682326621924
45.0,1,43.0,15,57,37.88417734390889
45.0,1,43.0,17,47,33.47905226764287
45.0,1,43.0,22,47,35.81025015253203
46.0,4,44.0,18,14,17.729916615822656
46.0,4,44.0,2,19,12.938885499288183
46.0,1,44.0,2,21,12.607687614399023
45.0,1,43.0,11,47,30.68161480577588
45.0,1,43.0,11,47,30.68161480577588
46.0,15,44.0,8,27,25.13504169208867
45.0,15,43.0,8,37,30.47264592231035
46.0,70,43.0,14,44,62.649583079113285
46.0,73,43.0,14,44,64.04830181004678
46.0,70,43.0,14,45,63.18334350213545
46.0,73,43.0,14,45,64.58206223306894
47.0,10,43.0,6,61,40.01921903599756
46.0,18,43.0,4,54,39.080333536709375
46.0,20,43.0,7,54,41.41153142159854
47.0,14,43.0,13,26,26.46623957697783
47.0,13,43.0,22,22,28.061114500711817
47.0,13,43.0,27,20,29.324791539556642
47.0,13,43.0,37,24,36.122229001423634
47.0,13,44.0,5,28,23.33760423022168
46.0,13,43.0,7,10,14.662395769778321
47.0,8,43.0,7,28,21.938885499288183
47.0,13,43.0,7,29,24.803843807199513
47.0,13,43.0,13,34,30.270083384177344
46.0,13,43.0,19,25,28.263677038844826
47.0,84,43.0,41,20,68.95515558267236
47.0,84,42.0,41,68,94.57565588773642
46.0,71,43.0,17,28,55.97437461866993
46.0,3,44.0,10,65,40.75554199715273
47.0,18,44.0,26,57,50.93888549928819
47.0,23,44.0,39,51,56.128635346756155
47.0,15,44.0,53,22,43.447020540980276
47.0,2,45.0,3,26,16.208968883465527
48.0,79,45.0,2,56,67.65598942444579
47.0,3,44.0,6,54,33.01921903599756
46.0,1,44.0,11,33,23.20896888346553
47.0,84,44.0,6,36,61.17693715680293
46.0,6,44.0,12,26,22.270083384177344
46.0,76,44.0,3,47,61.919666463290625
46.0,3,44.0,41,28,35.45983323164531
46.0,3,44.0,41,32,37.59487492373398
46.0,71,43.0,39,47,76.37309334960342
46.0,71,44.0,5,48,61.054708155379295
46.0,66,44.0,5,48,58.72351027049014
47.0,10,44.0,5,309,171.92556436851737
48.0,26,44.0,2,311,179.05419971527354
46.0,11,43.0,11,317,179.45932479153956
48.0,5,45.0,1,10,8.135041692088672
47.0,4,45.0,14,70,45.75554199715273
48.0,6,46.0,14,35,28.006406345332522
47.0,9,44.0,7,27,21.871364653243848
47.0,14,44.0,8,46,34.810250152532035
48.0,23,44.0,2,59,43.14785438275371
47.0,23,44.0,7,23,26.263677038844826
47.0,23,44.0,7,24,26.79743746186699
47.0,21,43.0,16,34,35.398718730933496
46.0,21,43.0,16,21,28.459833231645312
46.0,15,44.0,3,25,21.736322961155174
46.0,29,43.0,8,28,32.19615619280049
47.0,29,44.0,3,40,36.27008338417734
46.0,3,44.0,23,26,26.0
45.0,1,43.0,9,208,115.68456375838926
46.0,5,43.0,9,139,80.720052877771
47.0,27,43.0,9,131,86.70724018710595
47.0,39,44.0,3,132,90.03843807199513
47.0,44,44.0,3,101,75.82306284319708
47.0,33,43.0,3,31,33.331197884889164
48.0,14,45.0,8,52,38.01281269066504
47.0,3,44.0,23,57,42.54657311368721
47.0,26,44.0,21,27,36.32479153955664
47.0,3,45.0,23,44,35.607687614399026
47.0,6,45.0,18,47,36.27648972950986
47.0,3,45.0,18,29,25.270083384177344
47.0,3,45.0,11,30,22.540166768354688
47.0,3,45.0,11,32,23.607687614399023
47.0,8,45.0,6,33,24.141448037421192
47.0,5,44.0,30,39,37.13504169208867
47.0,5,44.0,25,39,34.80384380719951
47.0,5,44.0,30,35,35.0
47.0,5,44.0,25,35,32.66880211511084
47.0,4,44.0,25,34,31.66880211511084
48.0,30,44.0,26,39,46.92607280862315
48.0,30,44.0,26,38,46.392312385600974
47.0,3,44.0,26,47,38.607687614399026
48.0,39,45.0,7,55,50.80384380719951
48.0,39,45.0,16,57,56.06752084604434
48.0,39,45.0,26,58,61.263677038844826
48.0,15,45.0,6,52,37.5465731136872
48.0,42,45.0,5,39,42.72991661582266
48.0,47,45.0,5,22,35.98718730933496
48.0,42,45.0,5,26,35.79103111653447
48.0,40,45.0,5,25,34.32479153955664
48.0,40,45.0,5,26,34.85855196257881
47.0,36,44.0,8,26,34.392312385600974
47.0,37,44.0,10,29,37.392312385600974
46.0,20,44.0,7,44,36.07392719137685
47.0,7,45.0,13,32,26.405125076266017
47.0,8,45.0,13,36,29.00640634533252
47.0,1,45.0,13,45,30.54657311368721
46.0,2,44.0,5,40,24.614093959731544
47.0,17,43.0,16,53,43.67520846044336
48.0,5,45.0,2,31,19.81025015253203
48.0,5,45.0,2,38,23.54657311368721
47.0,4,45.0,2,42,25.215375228798045
47.0,5,45.0,2,42,25.68161480577588
48.0,49,45.0,2,14,31.250864348179785
48.0,23,45.0,27,26,37.189749847467965
47.0,3,45.0,27,27,28.398718730933496
48.0,52,46.0,3,25,38.98718730933496
48.0,39,45.0,32,26,46.98078096400244
48.0,39,45.0,32,25,46.447020540980276
48.0,48,45.0,25,28,48.98078096400244
48.0,47,45.0,26,28,48.98078096400244
48.0,48,45.0,25,29,49.51454138702461
48.0,47,45.0,26,29,49.51454138702461
48.0,8,46.0,15,35,29.405125076266017
48.0,7,46.0,26,31,31.93247915395566
48.0,7,46.0,31,32,34.79743746186699
48.0,7,46.0,36,32,37.128635346756155
48.0,7,46.0,36,34,38.19615619280049
48.0,8,46.0,36,32,37.59487492373398
48.0,8,46.0,35,44,43.53376042302217
47.0,8,45.0,34,28,34.52735407768965
48.0,31,46.0,10,26,32.99359365466748
48.0,25,46.0,11,22,28.52735407768965
48.0,29,46.0,11,23,30.926072808623147
48.0,28,46.0,11,29,33.66239576977832
48.0,24,46.0,11,33,33.93247915395567
48.0,24,46.0,6,29,29.46623957697783
48.0,7,46.0,19,181,108.73286556843604
48.0,39,44.0,18,33,44.18974984746797
48.0,25,46.0,3,41,34.93888549928818
48.0,28,45.0,38,44,54.257270693512304
48.0,28,45.0,43,44,56.58846857840147
48.0,25,46.0,8,48,41.00640634533252
47.0,25,45.0,8,27,29.79743746186699
47.0,28,45.0,8,44,40.27008338417735
48.0,36,44.0,33,48,57.79103111653448
47.0,46,44.0,18,29,45.31838519422412
47.0,46,44.0,18,31,46.38590604026845
47.0,46,45.0,5,36,42.99359365466748
47.0,3,45.0,15,33,26.006406345332522
47.0,3,45.0,15,39,29.208968883465523
47.0,3,45.0,15,40,29.742729306487696
47.0,43,45.0,3,38,41.72991661582266
47.0,43,45.0,3,43,44.398718730933496
47.0,43,45.0,3,41,43.331197884889164
48.0,9,45.0,35,66,55.742729306487696
48.0,9,45.0,35,69,57.3440105755542
48.0,11,46.0,15,35,30.803843807199513
48.0,8,45.0,38,30,37.45983323164531
49.0,9,46.0,38,41,43.79743746186699
49.0,12,46.0,38,41,45.19615619280049
48.0,9,46.0,15,44,34.67520846044336
48.0,7,46.0,3,51,31.88417734390889
48.0,7,46.0,3,46,29.21537522879805
49.0,39,46.0,6,50,47.668802115110836
49.0,32,47.0,3,46,40.871364653243845
49.0,32,47.0,1,47,40.47264592231035
49.0,17,46.0,8,69,48.48545861297539
49.0,37,46.0,5,61,52.14144803742119
48.0,28,46.0,3,24,27.263677038844826
49.0,14,46.0,4,20,19.06752084604434
49.0,29,46.0,5,40,37.20256253813301
49.0,29,46.0,5,35,34.53376042302217
49.0,34,46.0,13,38,42.19615619280049
49.0,39,46.0,13,39,45.06111450071182
49.0,40,46.0,12,51,51.466239576977834
49.0,40,46.0,7,51,49.13504169208868
49.0,37,46.0,7,52,48.27008338417734
49.0,40,46.0,4,53,48.80384380719951
49.0,40,46.0,4,54,49.33760423022168
48.0,29,45.0,18,19,32.0547081553793
48.0,31,45.0,28,34,45.6559894244458
48.0,39,45.0,28,35,49.919666463290625
48.0,36,45.0,30,41,52.655989424445806
47.0,28,45.0,9,15,25.257270693512304
47.0,7,45.0,14,25,23.13504169208867
47.0,7,45.0,14,27,24.20256253813301
48.0,8,45.0,36,44,44.0
48.0,7,45.0,41,36,41.59487492373398
48.0,7,45.0,41,34,40.52735407768965
47.0,4,45.0,8,23,17.871364653243848
47.0,4,45.0,8,27,20.006406345332522
47.0,1,45.0,8,28,19.141448037421192
47.0,1,45.0,8,27,18.607687614399026
47.0,1,45.0,8,24,17.006406345332522
49.0,29,45.0,31,37,47.72351027049014
48.0,10,46.0,18,29,28.53376042302217
48.0,5,46.0,6,32,22.208968883465527
48.0,6,46.0,6,32,22.675208460443358
48.0,6,46.0,5,35,23.81025015253203
49.0,23,47.0,6,52,41.27648972950986
49.0,23,47.0,6,53,41.810250152532035
49.0,23,47.0,6,56,43.41153142159854
49.0,33,47.0,5,82,61.48545861297539
49.0,43,46.0,13,86,72.01281269066504
49.0,43,46.0,13,88,73.08033353670938
48.0,25,45.0,20,18,30.588468578401464
48.0,25,45.0,20,26,34.85855196257881
49.0,39,46.0,4,28,34.993593654667485
49.0,39,46.0,4,33,37.66239576977833
49.0,23,47.0,8,56,44.3440105755542
49.0,33,47.0,7,56,48.54016676835469
49.0,30,47.0,7,60,49.27648972950986
48.0,10,46.0,10,21,20.533760423022166
49.0,42,46.0,10,30,40.25727069351231
48.0,1,46.0,10,24,17.938885499288183
48.0,3,46.0,10,24,18.871364653243848
48.0,1,46.0,10,25,18.47264592231035
49.0,28,47.0,7,74,55.81665649786455
49.0,32,47.0,7,65,52.877770998576366
49.0,32,47.0,5,39,38.06752084604433
49.0,7,47.0,15,87,56.694427496440916
49.0,7,47.0,10,87,54.36322961155176
49.0,7,47.0,23,99,66.82946918852959
49.0,10,46.0,43,103,79.6880211511084
49.0,6,46.0,40,104,76.95810453528574
49.0,6,46.0,43,106,79.42434411226357
49.0,6,46.0,43,101,76.75554199715273
49.0,6,47.0,25,52,42.20896888346553
49.0,4,47.0,26,62,47.080333536709375
49.0,36,47.0,3,28,33.128635346756155
49.0,30,47.0,3,30,31.398718730933496
49.0,3,47.0,25,46,37.607687614399026
49.0,6,47.0,15,49,35.945291844620705
49.0,6,47.0,5,50,31.81665649786455
49.0,36,46.0,9,35,39.66239576977832
49.0,17,46.0,36,21,35.919666463290625
49.0,4,47.0,31,39,37.13504169208867
49.0,9,47.0,26,37,36.06752084604433
49.0,12,47.0,26,33,35.331197884889164
48.0,9,46.0,34,34,38.19615619280049
