buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
66.0,2,64.0,1,20,18.174792627230417
63.0,2,58.0,18,35,33.38952290637978
63.0,2,58.0,23,26,25.892634860425318
62.0,2,59.0,9,10,10.107365139574682
62.0,2,59.0,9,12,11.892634860425318
62.0,8,58.0,10,8,9.073651395746813
62.0,8,58.0,10,7,8.181016535321493
62.0,7,58.0,13,8,9.288381674896176
62.0,7,58.0,13,8,9.288381674896176
63.0,8,58.0,12,27,26.248444022977232
63.0,8,60.0,1,25,23.2821577668051
63.0,5,59.0,9,25,23.818983464678503
63.0,5,59.0,9,25,23.818983464678503
63.0,3,59.0,9,18,17.35580916255191
63.0,4,61.0,8,31,28.960062348081056
63.0,5,60.0,15,27,26.248444022977232
66.0,5,64.0,5,29,26.960062348081053
67.0,15,64.0,15,18,19.288381674896172
67.0,20,64.0,10,18,19.288381674896172
67.0,10,64.0,5,15,15.0
67.0,10,64.0,10,12,12.85892111659745
67.0,8,64.0,10,22,21.57053944170128
67.0,9,64.0,10,22,21.677904581275957
67.0,8,64.0,10,20,19.785269720850636
67.0,9,64.0,10,20,19.892634860425318
66.0,2,64.0,18,19,19.107365139574682
67.0,4,64.0,31,50,48.38952290637978
68.0,15,65.0,1,50,46.349585254460834
68.0,15,66.0,1,52,48.13485497531147
67.0,2,64.0,32,77,72.38329899828871
67.0,1,64.0,38,76,72.0274898357368
67.0,1,64.0,37,76,71.92012469616212
67.0,21,65.0,1,18,18.42946055829872
67.0,6,64.0,10,18,17.785269720850636
67.0,21,65.0,1,23,22.892634860425318
67.0,6,64.0,10,23,22.248444022977232
67.0,5,64.0,10,37,34.63796692935701
68.0,5,64.0,10,89,81.05497967147359
68.0,8,65.0,5,75,68.34336134636976
68.0,19,64.0,38,78,75.74533206893169
67.0,2,64.0,37,61,58.63796692935701
67.0,5,64.0,5,44,40.34958525446084
67.0,5,64.0,10,51,47.13485497531147
67.0,5,64.0,10,50,46.24222011488615
68.0,10,65.0,6,61,56.168568719139344
68.0,10,65.0,6,52,48.13485497531147
66.0,1,64.0,5,24,22.067427487655735
67.0,12,64.0,5,15,15.214730279149364
67.0,11,65.0,1,23,21.818983464678507
67.0,6,64.0,5,26,24.389522906379778
67.0,7,64.0,20,30,29.677904581275957
67.0,7,64.0,20,20,20.751555977022768
67.0,7,64.0,30,55,53.067427487655735
67.0,7,64.0,35,55,53.604253185529146
68.0,13,65.0,5,47,43.886410952334245
68.0,5,66.0,2,47,42.70539441701275
67.0,5,65.0,2,26,23.960062348081053
68.0,26,65.0,2,39,37.81898346467851
68.0,28,65.0,2,39,38.03371374382787
69.0,27,66.0,2,27,27.214730279149364
68.0,15,66.0,9,44,41.85269720850638
67.0,15,65.0,9,157,142.72043643656738
67.0,5,65.0,9,160,144.32468962209654
67.0,21,65.0,1,32,30.926348604253185
67.0,21,65.0,1,55,51.456950394035516
67.0,13,65.0,6,34,32.38952290637978
67.0,8,65.0,6,34,31.85269720850637
67.0,13,65.0,6,47,43.99377609190893
67.0,8,65.0,6,47,43.456950394035516
67.0,8,65.0,13,43,40.637966929357006
67.0,8,65.0,8,38,35.63796692935701
68.0,8,65.0,8,35,32.96006234808105
67.0,13,64.0,47,21,25.18724044341257
67.0,8,64.0,47,20,23.757779885113845
67.0,8,65.0,5,18,17.463174302126593
67.0,28,64.0,17,19,21.791493628941716
67.0,32,64.0,17,17,20.4356844663898
68.0,25,64.0,17,30,31.28838167489618
67.0,25,64.0,17,18,20.57676334979235
67.0,32,64.0,17,26,28.46939821021767
67.0,32,65.0,2,20,21.503111954045536
68.0,40,65.0,5,15,18.22095418724044
68.0,40,65.0,5,17,20.006223908091076
68.0,44,65.0,5,17,20.4356844663898
67.0,25,65.0,1,84,77.77282190466848
67.0,25,65.0,1,80,74.2022824629672
68.0,27,66.0,1,78,72.63174302126593
68.0,39,65.0,9,78,74.77904581275956
68.0,42,65.0,4,75,71.88641095233424
68.0,42,66.0,2,56,54.71161832510383
68.0,37,65.0,7,56,54.71161832510383
68.0,44,64.0,44,54,57.650414745539166
68.0,44,65.0,5,53,52.57053944170128
68.0,27,66.0,2,75,70.06120357956466
67.0,27,65.0,2,53,50.42323665020765
68.0,33,64.0,33,55,56.1810165353215
67.0,9,65.0,2,56,51.168568719139344
67.0,10,64.0,7,30,28.604253185529146
68.0,14,65.0,10,20,20.429460558298725
68.0,14,65.0,10,67,62.3832989982887
68.0,15,64.0,8,66,61.3832989982887
68.0,15,64.0,8,67,62.27593385871402
67.0,12,64.0,8,7,8.395746814470858
67.0,21,64.0,12,77,72.27593385871403
67.0,26,64.0,13,61,58.63796692935701
67.0,25,65.0,5,61,57.67168067318488
67.0,25,64.0,5,80,74.63174302126593
67.0,4,64.0,5,38,34.886410952334245
66.0,4,64.0,5,41,37.5643155336102
67.0,7,64.0,21,40,38.71161832510383
67.0,32,64.0,2,44,42.92634860425319
67.0,22,64.0,2,44,41.85269720850638
67.0,22,64.0,2,27,26.677904581275957
67.0,22,64.0,2,36,34.71161832510382
67.0,12,64.0,2,29,27.38952290637978
66.0,31,64.0,5,64,60.99377609190893
66.0,13,64.0,2,40,37.31587151063297
67.0,8,65.0,2,11,10.89263486042532
67.0,22,64.0,12,13,15.254667931068306
67.0,41,64.0,5,12,15.650414745539164
67.0,38,64.0,5,12,15.32831932681512
68.0,33,65.0,9,16,18.791493628941716
67.0,33,64.0,2,14,16.254667931068308
67.0,38,64.0,2,17,19.46939821021767
67.0,7,64.0,32,18,20.254667931068305
67.0,42,64.0,2,29,30.61047709362022
67.0,2,65.0,2,30,27.208506371058288
67.0,37,64.0,7,28,29.7178422331949
67.0,37,64.0,4,26,27.61047709362022
66.0,2,64.0,2,23,20.960062348081056
67.0,2,65.0,2,29,26.315871510632967
67.0,12,64.0,35,42,42.536825697873404
67.0,42,64.0,9,35,36.7178422331949
67.0,3,65.0,7,82,74.26970995062294
66.0,3,64.0,7,17,16.248444022977232
67.0,18,65.0,7,71,66.06120357956466
67.0,8,64.0,7,78,71.23599620679508
67.0,18,64.0,32,61,59.81898346467851
67.0,13,64.0,30,61,59.06742748765574
67.0,3,64.0,42,62,60.17479262723042
67.0,15,64.0,30,62,60.17479262723042
67.0,10,64.0,35,59,57.49688804595446
66.0,5,64.0,5,21,19.818983464678503
67.0,5,65.0,5,11,10.89263486042532
66.0,7,64.0,5,11,11.107365139574682
67.0,30,64.0,2,32,32.0
67.0,5,65.0,24,14,15.610477093620219
67.0,17,65.0,2,16,16.322095418724043
67.0,22,65.0,4,16,17.073651395746815
67.0,17,65.0,2,17,17.21473027914936
67.0,22,65.0,4,17,17.966286256172133
67.0,32,65.0,3,18,19.82520737276958
67.0,27,65.0,3,18,19.288381674896172
67.0,27,64.0,43,18,23.582987257883424
67.0,32,64.0,38,18,23.582987257883424
67.0,32,64.0,39,19,24.582987257883428
67.0,15,64.0,2,32,30.38952290637978
67.0,10,64.0,2,31,28.960062348081056
67.0,5,64.0,2,32,29.315871510632967
67.0,37,64.0,5,22,24.14730279149363
67.0,42,64.0,5,22,24.684128489367033
67.0,21,64.0,2,27,26.570539441701275
67.0,21,64.0,2,34,32.8189834646785
67.0,20,64.0,5,35,33.926348604253185
67.0,20,64.0,5,33,32.14107888340255
67.0,49,64.0,5,22,25.4356844663898
67.0,49,64.0,5,17,20.972510164263205
67.0,49,64.0,13,23,27.18724044341257
66.0,3,64.0,5,46,41.92012469616211
66.0,5,64.0,9,49,45.24222011488615
67.0,5,65.0,10,34,31.960062348081053
67.0,10,64.0,26,44,43.14107888340256
66.0,5,64.0,5,44,40.34958525446084
66.0,26,64.0,5,22,22.966286256172133
66.0,2,64.0,8,21,19.818983464678503
66.0,2,64.0,5,24,22.174792627230417
66.0,1,64.0,5,20,18.496888045954464
66.0,1,64.0,5,23,21.174792627230417
67.0,6,64.0,5,31,28.852697208506374
67.0,27,65.0,11,28,29.073651395746815
68.0,22,65.0,7,36,35.248444022977225
68.0,7,65.0,7,36,33.637966929357006
68.0,6,64.0,39,35,36.073651395746815
68.0,6,64.0,39,35,36.073651395746815
69.0,36,64.0,38,35,39.18724044341257
69.0,49,64.0,44,35,41.22717809533152
69.0,17,66.0,8,25,25.0
69.0,27,65.0,13,25,26.61047709362022
68.0,17,66.0,8,28,27.677904581275957
68.0,27,65.0,13,28,29.288381674896176
68.0,42,65.0,8,28,30.362033070642987
68.0,42,65.0,8,33,34.82520737276958
68.0,41,65.0,8,29,31.147302791493626
68.0,36,65.0,9,22,24.469398210217673
68.0,29,65.0,11,22,23.932572512344265
68.0,31,65.0,13,22,24.36203307064299
68.0,36,65.0,13,21,24.006223908091076
68.0,36,65.0,13,22,24.898858768516398
67.0,26,64.0,23,48,48.10736513957468
68.0,17,66.0,5,13,13.96628625617213
68.0,7,66.0,6,19,18.355809162551914
68.0,7,66.0,6,20,19.248444022977232
68.0,7,65.0,11,54,50.13485497531148
67.0,2,65.0,16,6,7.288381674896176
68.0,30,65.0,7,48,46.8189834646785
67.0,2,65.0,6,43,39.24222011488615
67.0,2,65.0,6,30,27.637966929357013
67.0,2,65.0,18,20,20.0
67.0,2,65.0,18,17,17.322095418724043
68.0,7,65.0,25,18,19.503111954045536
67.0,14,64.0,27,87,82.06120357956465
67.0,26,64.0,12,17,19.254667931068305
68.0,35,64.0,12,89,84.49066413786339
68.0,35,64.0,2,81,76.27593385871403
67.0,35,65.0,2,12,14.684128489367033
66.0,15,64.0,10,9,10.7178422331949
67.0,25,64.0,5,9,11.254667931068306
67.0,8,64.0,10,29,27.818983464678503
66.0,8,64.0,10,42,39.42323665020765
66.0,11,64.0,1,43,39.67168067318488
67.0,28,64.0,2,10,12.147302791493626
67.0,2,65.0,5,15,14.14107888340255
67.0,2,65.0,5,18,16.818983464678503
68.0,38,64.0,10,52,51.57053944170127
