buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
43.0,3,39.0,1,138,105.18961739862299
48.0,2,44.0,5,21,17.57204957896061
46.0,2,44.0,2,56,43.267612721853695
47.0,2,44.0,5,8,7.755146398497186
48.0,1,45.0,18,13,14.46912160901688
49.0,14,44.0,11,32,30.286024789480305
46.0,1,44.0,8,12,11.26543919549156
48.0,15,44.0,13,25,25.73456080450844
47.0,1,44.0,9,10,10.0
47.0,8,44.0,17,43,38.59263517294936
46.0,5,44.0,8,22,19.79631758647468
47.0,5,45.0,7,25,21.816903180463424
46.0,5,44.0,2,22,18.327195977457798
43.0,5,41.0,6,38,31.388952759424036
43.0,2,39.0,6,32,26.123513563932477
43.0,2,39.0,1,39,30.18527034589871
42.0,7,39.0,1,26,21.592635172949358
42.0,2,39.0,20,26,25.020585593988745
43.0,3,38.0,10,9,9.979414406011255
43.0,8,40.0,6,27,23.816903180463424
43.0,1,40.0,11,14,13.510292796994374
43.0,6,41.0,5,9,9.489707203005626
43.0,3,40.0,12,12,12.73456080450844
43.0,3,40.0,11,12,12.489707203005628
43.0,1,41.0,11,15,14.26543919549156
43.0,13,40.0,6,9,11.448536015028136
43.0,5,41.0,5,14,13.020585593988747
43.0,3,40.0,12,16,15.755146398497185
43.0,3,40.0,11,16,15.510292796994372
43.0,3,40.0,12,9,10.46912160901688
43.0,3,41.0,5,29,23.858074368440917
43.0,10,40.0,10,69,57.002173526362135
43.0,15,39.0,41,56,56.0
43.0,10,40.0,8,61,50.471295135379016
43.0,13,41.0,5,19,18.75514639849719
43.0,2,41.0,5,17,14.551463984971866
43.0,2,41.0,5,17,14.551463984971866
43.0,9,40.0,5,31,26.837488774452172
43.0,7,40.0,5,30,25.592635172949354
43.0,10,39.0,13,47,41.12351356393248
43.0,11,40.0,9,41,35.85807436844092
43.0,6,41.0,3,30,24.858074368440914
43.0,1,40.0,14,30,26.327195977457794
43.0,4,40.0,10,25,22.306610383469053
42.0,1,40.0,14,10,11.224268007514066
43.0,10,41.0,5,34,29.347781571446543
43.0,12,39.0,6,190,147.8851805415161
43.0,6,40.0,3,180,138.1300341430189
43.0,1,39.0,39,171,138.92417820313142
43.0,12,41.0,5,18,17.755146398497185
43.0,19,39.0,25,41,41.73456080450844
43.0,20,39.0,32,37,40.67280402254221
43.0,5,40.0,7,44,36.16468475190997
42.0,3,40.0,14,31,27.572049578960613
42.0,3,40.0,1,31,24.388952759424036
42.0,3,40.0,2,35,27.654391954915592
43.0,15,40.0,8,35,32.06175678196624
42.0,5,40.0,3,26,21.592635172949358
43.0,11,40.0,8,17,17.48970720300563
42.0,3,39.0,17,20,20.0
42.0,6,39.0,24,10,14.89707203005627
43.0,6,40.0,17,29,27.53087839098312
42.0,2,40.0,9,27,23.082342375954983
42.0,1,39.0,4,105,80.51463984971865
43.0,11,39.0,9,115,91.7389078572327
43.0,13,39.0,18,156,125.3932998121483
43.0,13,39.0,32,153,126.55581103769615
43.0,16,39.0,38,152,128.00434705272428
43.0,15,39.0,38,109,95.28819831584244
42.0,5,40.0,5,128,99.107275022668
43.0,11,40.0,5,123,96.80066463919896
43.0,11,39.0,32,118,99.63597988728898
43.0,5,40.0,21,31,29.775731992485934
43.0,9,40.0,12,52,44.40953835341278
41.0,5,39.0,18,37,33.572049578960616
43.0,9,41.0,6,29,25.57204957896061
43.0,9,41.0,3,28,24.082342375954983
43.0,9,41.0,2,33,27.613220766938102
