,trade_day,date_section,vot
0,20230913,20230815_2,12652.374521539385
1,20230913,20230816_0,7037.223016809212
2,20230913,20230816_1,4682.381205157623
3,20230913,20230816_2,12673.49403873419
4,20230913,20230817_0,7001.2240903556785
5,20230913,20230817_1,4747.450553918904
6,20230913,20230817_2,12680.192719700824
7,20230913,20230818_0,15581.395751029137
8,20230913,20230818_1,18648.76229948617
9,20230913,20230818_2,10411.76136852795
10,20230913,20230821_0,6992.891608461697
11,20230913,20230821_1,4573.055240845179
12,20230913,20230821_2,12627.944547685333
13,20230913,20230822_1,4664.707960759133
14,20230913,20230822_2,6299.273364989699
15,20230913,20230823_0,4810.996488598673
16,20230913,20230823_1,3030.091393267508
17,20230913,20230823_2,6679.296606775848
18,20230913,20230824_0,5017.443819881456
19,20230913,20230824_1,3326.7395365548655
20,20230913,20230824_2,6308.736414587587
21,20230913,20230825_0,4885.135167679337
22,20230913,20230825_1,2704.7842449227783
23,20230913,20230825_2,8883.726563732936
24,20230913,20230828_0,6477.682718186944
25,20230913,20230828_1,4402.431668506215
26,20230913,20230828_2,7827.511308355866
27,20230913,20230829_0,6543.681154910445
28,20230913,20230829_1,3808.4510357950576
29,20230913,20230829_2,9244.295806329988
30,20230913,20230830_0,6151.283705481773
31,20230913,20230830_1,3745.970449725454
32,20230913,20230830_2,9835.605900644043
33,20230913,20230831_0,6426.0559325127315
34,20230913,20230831_1,4167.323566879943
35,20230913,20230831_2,10159.852075747902
36,20230913,20230901_0,6733.179158894469
37,20230913,20230901_1,4295.14775494294
38,20230913,20230901_2,12026.156996223292
39,20230913,20230904_0,6868.143207384469
40,20230913,20230904_1,4410.930746464442
41,20230913,20230904_2,10377.937460679597
42,20230913,20230905_0,6498.931520712935
43,20230913,20230905_1,4488.219182070218
44,20230913,20230905_2,10848.642490730977
45,20230913,20230906_0,6509.70351366253
46,20230913,20230906_1,4470.595118624922
47,20230913,20230906_2,10598.558054523344
48,20230913,20230907_0,6970.075874431021
49,20230913,20230907_1,4538.277399061224
50,20230913,20230907_2,10053.091664052099
51,20230913,20230908_0,3798.256280339548
52,20230913,20230908_1,4398.952861226487
53,20230913,20230908_2,9951.100433430742
54,20230913,20230911_0,6746.145996445319
55,20230913,20230911_1,4521.2093724779315
56,20230913,20230911_2,9834.693806515348
57,20230913,20230912_0,6622.312685594792
58,20230913,20230912_1,4768.241245578062
59,20230913,20230912_2,9555.510942174695
60,20230913,20230913_0,6868.66217302938
61,20230913,20230913_1,4528.780501286155
62,20230914,20230816_2,12028.594368944949
63,20230914,20230817_0,6644.961871729044
64,20230914,20230817_1,4505.873188970789
65,20230914,20230817_2,12034.952182812878
66,20230914,20230818_0,14788.525454646544
67,20230914,20230818_1,17699.80689601498
68,20230914,20230818_2,9881.951558544506
69,20230914,20230821_0,6637.0533940445985
70,20230914,20230821_1,4340.352104225123
71,20230914,20230821_2,11985.36269582749
72,20230914,20230822_1,4427.341010937513
73,20230914,20230822_2,5978.730403389839
74,20230914,20230823_0,4566.185544010548
75,20230914,20230823_1,2875.9030587027005
76,20230914,20230823_2,6339.415894876734
77,20230914,20230824_0,4762.1276574452595
78,20230914,20230824_1,3157.456052296934
79,20230914,20230824_2,5987.711919044347
80,20230914,20230825_0,4636.551624192156
81,20230914,20230825_1,2567.1493937072673
82,20230914,20230825_2,8431.67188094859
83,20230914,20230828_0,6148.061271000349
84,20230914,20230828_1,4178.410832530588
85,20230914,20230828_2,7429.202882707651
86,20230914,20230829_0,6210.701330790109
87,20230914,20230829_1,3614.655322640799
88,20230914,20230829_2,8773.893303696095
89,20230914,20230830_0,5838.271301931429
90,20230914,20230830_1,3555.354105196878
91,20230914,20230830_2,9335.11416741591
92,20230914,20230831_0,6099.061550674636
93,20230914,20230831_1,3955.2663722363877
94,20230914,20230831_2,9642.860847541053
95,20230914,20230901_0,6390.556595382651
96,20230914,20230901_1,4076.586136466385
97,20230914,20230901_2,11414.197527745679
98,20230914,20230904_0,6518.652903213398
99,20230914,20230904_1,4186.47742892122
100,20230914,20230904_2,9849.848804068359
101,20230914,20230905_0,6168.228813244799
102,20230914,20230905_1,4259.832988048864
103,20230914,20230905_2,10296.601677159668
104,20230914,20230906_0,6178.452665746706
105,20230914,20230906_1,4243.105737484173
106,20230914,20230906_2,10059.24296361674
107,20230914,20230907_0,6615.39865470863
108,20230914,20230907_1,4307.343957413518
109,20230914,20230907_2,9541.533014583107
110,20230914,20230908_0,3604.979334496558
111,20230914,20230908_1,4175.109046809326
112,20230914,20230908_2,9444.731679561817
113,20230914,20230911_0,6402.863606272503
114,20230914,20230911_1,4291.144449383505
115,20230914,20230911_2,9334.248485839322
116,20230914,20230912_0,6285.331640657342
117,20230914,20230912_1,4525.605931642501
118,20230914,20230912_2,9069.272038172225
119,20230914,20230913_0,6519.145460925973
120,20230914,20230913_1,4298.3303159701645
121,20230914,20230913_2,9286.026359500453
122,20230914,20230914_0,6328.653914810446
123,20230914,20230914_1,4306.857840249862
124,20230915,20230817_2,12824.636477840324
125,20230915,20230818_0,15758.887955531734
126,20230915,20230818_1,18861.19576723646
127,20230915,20230818_2,10530.364766296918
128,20230915,20230821_0,7072.549667807992
129,20230915,20230821_1,4625.148241304149
130,20230915,20230821_2,12771.793131722305
131,20230915,20230822_1,4717.845003970507
132,20230915,20230822_2,6371.03021746825
133,20230915,20230823_0,4865.799946919102
134,20230915,20230823_1,3064.6080443961387
135,20230915,20230823_2,6755.3824143765605
136,20230915,20230824_0,5074.598979713647
137,20230915,20230824_1,3364.63539284297
138,20230915,20230824_2,6380.601063412581
139,20230915,20230825_0,4940.7831612262125
140,20230915,20230825_1,2735.595227841528
141,20230915,20230825_2,8984.923673233932
142,20230915,20230828_0,6551.471883425458
143,20230915,20230828_1,4452.581046296302
144,20230915,20230828_2,7916.676763112853
145,20230915,20230829_0,6618.222127510441
146,20230915,20230829_1,3851.8342076805943
147,20230915,20230829_2,9349.600264798111
148,20230915,20230830_0,6221.354764766354
149,20230915,20230830_1,3788.6418871080414
150,20230915,20230830_2,9947.646144138196
151,20230915,20230831_0,6499.2570020410085
152,20230915,20230831_1,4214.794759998975
153,20230915,20230831_2,10275.585901597598
154,20230915,20230901_0,6809.878758296159
155,20230915,20230901_1,4344.075030513798
156,20230915,20230901_2,12163.15044347676
157,20230915,20230904_0,6946.380221461831
158,20230915,20230904_1,4461.176939720046
159,20230915,20230904_2,10496.155560490357
160,20230915,20230905_0,6572.962737232582
161,20230915,20230905_1,4539.345790343669
162,20230915,20230905_2,10972.22252825189
163,20230915,20230906_0,6583.857437082514
164,20230915,20230906_1,4521.520966072888
165,20230915,20230906_2,10719.289307596218
166,20230915,20230907_0,7049.474033124308
167,20230915,20230907_1,4589.974235023464
168,20230915,20230907_2,10167.609351044384
169,20230915,20230908_0,3841.523320804699
170,20230915,20230908_1,4449.062610912456
171,20230915,20230908_2,10064.456308692412
172,20230915,20230911_0,6822.993304859674
173,20230915,20230911_1,4572.711781592077
174,20230915,20230911_2,9946.723660080372
175,20230915,20230912_0,6697.749372798768
176,20230915,20230912_1,4822.557666507296
177,20230915,20230912_2,9664.360542645389
178,20230915,20230913_0,6946.905098795133
179,20230915,20230913_1,4580.369155327535
180,20230915,20230913_2,9895.337395216962
181,20230915,20230914_0,6743.914277234395
182,20230915,20230914_1,4589.4562208415355
183,20230915,20230914_2,9947.567300908977
184,20230915,20230915_0,6708.203825854813
185,20230915,20230915_1,4520.691624233495
186,20230918,20230818_2,11354.834779237368
