seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
24353,21:01:07:000,[360],[2000],[409],[2000]
24354,21:01:07:500,[370],[1000],[419],[5000]
24355,21:01:08:000,[370],[2000],[419],[3000]
24356,21:01:08:500,[370],[2000],[419],[4000]
24357,21:01:09:000,[359],[1000],[419],[3000]
24358,21:01:09:500,[339],[2000],[409],[2000]
24359,21:01:10:000,[370],[3000],[409],[4000]
24360,21:01:10:500,[360],[5000],[400],[9000]
24361,21:01:11:000,[360],[3000],[400],[3000]
24362,21:01:11:500,[350],[4000],[409],[7000]
24363,21:01:12:000,[359],[1000],[400],[1000]
24364,21:01:12:500,[370],[1000],[400],[1000]
24365,21:01:13:000,[370],[1000],[420],[8000]
24366,21:01:13:500,[359],[4000],[400],[5000]
24367,21:01:14:000,[350],[4000],[389],[2000]
24368,21:01:14:500,[370],[1000],[400],[5000]
24369,21:01:15:000,[370],[1000],[420],[8000]
24370,21:01:15:500,[379],[1000],[409],[8000]
24371,21:01:16:000,[359],[7000],[390],[3000]
24372,21:01:16:500,[350],[2000],[400],[4000]
24373,21:01:17:000,[350],[2000],[380],[16000]
24374,21:01:17:500,[359],[1000],[400],[15000]
24375,21:01:18:000,[360],[1000],[390],[17000]
24376,21:01:18:500,[360],[1000],[379],[1000]
24377,21:01:19:000,[360],[3000],[400],[17000]
24378,21:01:19:500,[359],[2000],[400],[14000]
24379,21:01:20:000,[360],[2000],[390],[1000]
24380,21:01:20:500,[360],[2000],[400],[5000]
