date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20230220_1,50.60009765625,12.60009765625,23.97159789752224,21.64959914198928,19.32760038645631,18.166601008689828,26.2001953125,27.0,27.0,25.2001953125,-1.0,17.70451040311696,20.055065325604428,22.405620248091896,23.58089770933563,14.80029296875,13.60009765625,13.60009765625
20230220_2,38.80029296875,19.80029296875,24.89566158015225,23.394520964695296,21.89338034923834,21.14281004150986,26.519921875000072,27.0,27.0,25.0,-3.400390625,19.237953976583185,21.13391152051404,23.0298690644449,23.977847836410326,17.39990234375,16.60009765625,16.60009765625
20230221_1,47.2001953125,20.60009765625,26.682100051526973,24.977695246155715,23.273290440784457,22.42108803809883,28.39990234375,29.19970703125,29.19970703125,27.0,-13.80029296875,20.195068407226945,21.95011243134634,23.70515645546574,24.58267846752544,18.60009765625,17.80029296875,17.80029296875
20230221_2,43.0,23.0,28.28326773072488,26.47356196718694,24.663856203649004,23.75900332188004,30.19970703125,31.0,31.0,27.19970703125,-17.0,20.83615758122301,23.252323282441345,25.66848898365968,26.876571834268848,19.0,17.80029296875,17.80029296875
20230222_1,63.39990234375,21.60009765625,28.52801507330926,26.68362188095877,24.83922868860829,23.91703209243305,30.39990234375,31.0,31.0,29.7998046875,2.0,22.1982624503546,23.82378759819242,25.449312746030245,26.262075319949155,20.7998046875,20.19970703125,20.19970703125
20230222_2,56.0,21.60009765625,30.31753419929719,28.702072139512417,27.08661007972765,26.278879049835265,32.0,32.599609375,32.599609375,29.39990234375,11.60009765625,24.17507871889343,25.899985373926103,27.624892028958776,28.48734535647511,22.2001953125,21.39990234375,21.39990234375
20230223_1,51.19970703125,23.60009765625,29.643514637726515,28.08415855527516,26.524802472823804,25.745124431598125,31.2001953125,31.80029296875,31.80029296875,31.2001953125,-0.19970703125,23.660856946400365,25.42041967628546,27.179982406170552,28.059763771113097,21.7998046875,21.19970703125,21.19970703125
20230223_2,40.2001953125,22.2001953125,28.02139373648694,26.588529756368395,25.15566577624985,24.439233786190584,29.60009765625,30.2001953125,30.2001953125,28.0,-19.19970703125,22.31528010347941,24.465577158850365,26.61587421422132,27.6910227419068,21.19970703125,20.39990234375,20.39990234375
20230224_1,48.39990234375,23.39990234375,28.845353014192725,27.325411708715617,25.805470403238505,25.04549975049996,30.60009765625,31.2001953125,31.2001953125,29.2001953125,0.0,22.79248831421223,24.52571023408748,26.25893215396272,27.125543113900346,21.19970703125,20.60009765625,20.60009765625
20230224_2,37.39990234375,20.60009765625,27.292704913030978,25.617116779417884,23.941528645804787,23.10373457899824,29.39990234375,30.07988281249993,30.07988281249993,27.0,3.60009765625,22.522673051974103,23.9628757534288,25.40307845488348,26.123179805610825,21.19970703125,20.599609375,20.599609375
20230227_1,45.39990234375,22.2001953125,29.47342666534045,27.69606757510388,25.9187084848673,25.03002893974901,31.599609375,32.19970703125,32.19970703125,29.39990234375,1.0,23.968652476963022,26.009892778975523,28.051133080988023,29.071753231994272,21.60009765625,20.7998046875,20.7998046875
20230227_2,46.2001953125,22.7998046875,29.92707977478985,27.9180691648544,25.909058554918943,24.90455324995122,32.0,32.599609375,32.599609375,30.39990234375,3.0,25.11466024695605,27.117557682760445,29.12045511856485,30.121903836467048,23.0,22.2001953125,22.2001953125
20230228_1,37.39990234375,23.19970703125,28.339391743733813,27.130993035079506,25.92259432642519,25.31839497209804,29.7998046875,30.2001953125,30.2001953125,28.60009765625,3.0,23.24951847454974,24.726095237477807,26.20267200040588,26.94096038186992,22.0,21.39990234375,21.39990234375
20230228_2,40.2001953125,23.0,28.1276196702446,26.82549009876693,25.523360527289267,24.872295741550435,29.60009765625,30.2001953125,30.2001953125,30.80029296875,4.39990234375,23.74575005115366,25.14243679343138,26.5391235357091,27.23746690684796,22.39990234375,21.7998046875,21.7998046875
20230301_1,42.2001953125,5.2001953125,28.48725818452381,27.34716687589241,26.20707556726101,25.63702991294531,29.60009765625,30.0,30.0,34.60009765625,-3.60009765625,24.41457710934015,25.64166757130085,26.86875803326156,27.482303264241903,23.19970703125,22.60009765625,22.60009765625
20230301_2,36.19970703125,23.60009765625,27.39359196574225,26.422138948630703,25.45068593151916,24.96495942296338,28.599609375,28.80029296875,28.80029296875,31.60009765625,16.2001953125,24.08064823783306,25.324323389528853,26.56799854122465,27.18983611707255,22.60009765625,22.2001953125,22.2001953125
20230302_1,41.39990234375,23.0,27.37420421823249,26.237338347044386,25.100472475856275,24.532039540262225,28.60009765625,29.19970703125,29.19970703125,30.60009765625,11.7998046875,23.205925830690354,24.319663430147344,25.43340102960433,25.990269829332824,22.0,21.7998046875,21.7998046875
20230302_2,33.19970703125,22.39990234375,26.35789136779921,25.429574421250443,24.501257474701667,24.03709900142728,27.60009765625,27.80029296875,27.80029296875,26.60009765625,16.0,23.17012243078859,23.994417089359995,24.818711747931395,25.230859077217097,22.2001953125,22.0,22.0
20230303_1,35.2001953125,17.2001953125,26.528918280520607,25.49691644741095,24.46491461430129,23.94891369774646,27.7998046875,28.19970703125,28.19970703125,28.0,-8.39990234375,22.700040761449674,24.04420793987559,25.38837511830151,26.06045870751447,21.39990234375,21.0,21.0
20230303_2,36.2001953125,22.39990234375,26.79387072041849,25.67972061114101,24.565570501863537,24.008495447224803,28.19970703125,28.400390625,28.400390625,28.0,17.60009765625,23.7152231119668,24.5955432913026,25.475863470638405,25.916023560306307,22.60009765625,22.220166015625004,22.22016601562505
20230306_1,45.0,21.60009765625,27.53092019366772,26.365532398512965,25.20014460335821,24.61745070578084,28.7998046875,29.19970703125,29.19970703125,27.60009765625,8.0,23.496218755525103,24.716975860361647,25.937732965198187,26.54811151761646,22.19970703125,21.60009765625,21.60009765625
20230306_2,36.19970703125,22.19970703125,27.337615815830024,26.328984512615893,25.32035320940176,24.816037557794694,28.60009765625,29.0,29.0,27.60009765625,16.39990234375,23.85452873632765,24.999462275503376,26.144395814679104,26.716862584266966,22.39990234375,22.0,22.0
