date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,34.0,13.0,24.78450276736297,19.960698421794728,15.136894076226486,12.724991903442366,31.0,32.0,32.0,28.0,-17.0,16.886091769326907,21.6952594755498,26.50442718177268,28.909011034884124,11.0,8.0,8.0
20220908_2,28.0,16.0,21.954789756560228,20.04849878525091,18.142207813941592,17.189062328286933,24.0,25.0,25.0,20.0,-17.0,14.057224154283908,16.196333371732326,18.335442589180744,19.404997197904954,11.0,11.0,11.0
20220909_0,111.0,9.0,23.618264840182647,19.47411900036425,15.329973160545851,13.257900240636657,28.0,29.0,29.0,24.0,-22.0,15.706849315068494,19.65884693573686,23.61084455640523,25.586843366739416,11.0,10.0,10.0
20220909_1,77.0,13.0,22.41398344066237,18.78734962793042,15.16071581519847,13.347398908832494,27.0,28.0,28.0,23.0,-4.0,14.366329346826127,17.651108665043843,20.93588798326156,22.57827764237042,10.0,9.0,9.0
20220909_2,32.0,17.0,23.628143543373834,21.66489753036444,19.70165151735504,18.720028510850344,26.0,27.0,27.0,24.0,-19.0,16.691720825091835,19.128291373497696,21.56486192190356,22.783147196106484,14.0,13.0,13.0
20220913_1,73.0,13.0,23.31995556172754,20.324106062796226,17.32825656386491,15.830331814399257,26.0,27.0,27.0,21.0,-47.0,13.757533675878353,16.80344746410147,19.849361252324588,21.372318146436147,11.0,10.0,10.0
20220913_2,52.0,15.0,21.293602336076454,19.053424873150583,16.813247410224722,15.693158678761788,24.0,25.0,25.0,21.0,-3.0,13.572338731085743,15.973106315885234,18.37387390068472,19.57425769308447,11.0,10.0,10.0
20220914_0,63.0,17.0,22.975725593667548,20.169070371731284,17.36241514979502,15.959087538826886,26.0,27.0,27.0,26.0,-22.0,14.220404573438874,16.646686929500785,19.072969285562696,20.28611046359365,12.0,11.0,11.0
20220914_1,94.0,11.0,21.93265157048941,18.538946453583485,15.145241336677564,13.4483887782246,25.0,26.0,26.0,30.0,-3.0,14.062819576333087,17.089560603927964,20.11630163152284,21.62967214532027,10.0,8.0,8.0
20220914_2,55.0,10.0,18.08912349619445,14.505686093698989,10.922248691203528,9.130529989955797,23.0,25.0,25.0,21.0,-4.0,11.180947704394796,14.751787141876736,18.32262657935868,20.108046298099644,7.0,6.0,6.0
20220915_0,60.0,16.0,23.14113885505481,20.797630694592925,18.45412253413104,17.282368453900098,26.0,27.0,27.0,21.0,-22.0,15.38733252131547,17.392147270471433,19.3969620196274,20.399369394205383,13.0,13.0,13.0
20220915_1,49.0,12.0,22.543224471700903,19.71325347150305,16.883282471305208,15.468296971206282,26.0,27.0,27.0,22.0,0.0,14.965124870696023,17.473808267201534,19.98249166370704,21.2368333619598,12.0,11.0,11.0
20220915_2,49.0,15.0,20.78081797235023,18.71379057307299,16.646763173795755,15.613249474157133,23.0,24.0,24.0,19.0,5.0,13.556451612903226,15.458469183665995,17.36048675442877,18.31149553981016,11.0,11.0,11.0
20220916_0,39.0,12.0,18.69384972044184,16.440293017054064,14.186736313666287,13.059957961972398,22.0,23.0,23.0,18.0,-18.0,11.146597572616937,13.65439794055106,16.16219830848518,17.416098492452242,8.0,7.0,7.0
20220916_1,37.0,17.0,21.283636363636365,19.52668265606337,17.76972894849038,16.89125209470388,23.0,24.0,24.0,18.0,4.0,13.248,15.096409363785016,16.94481872757003,17.869023409462542,11.0,10.0,10.0
20220916_2,48.0,22.0,26.16434803112473,24.63750878899785,23.11066954687096,22.34724992580752,28.0,29.0,29.0,24.0,-14.0,19.397076161282715,21.0529208514122,22.70876554154168,23.53668788660641,18.0,17.0,17.0
20220919_0,65.0,19.0,24.89678732373892,22.560470288341453,20.224153252943985,19.055994735245253,27.0,27.0,27.0,25.0,-11.0,17.72510539322576,20.092347372478827,22.459589351731893,23.643210341358422,15.0,14.0,14.0
20220919_1,59.0,6.0,18.25758632717126,14.05471286985282,9.851839412534384,7.750402683875164,25.0,26.0,26.0,21.0,-3.0,10.958493198465296,14.780225499136249,18.6019577998072,20.51282395014268,7.0,7.0,7.0
20220919_2,28.0,9.0,14.611733684904417,12.807918418420376,11.004103151936334,10.102195518694314,17.0,17.0,17.0,12.0,-8.0,7.805866842452208,9.434478436348469,11.063090030244728,11.877395827192856,6.0,5.0,5.0
20220920_0,45.0,0.0,17.739222829386765,15.16009743845875,12.580972047530736,11.291409352066728,21.0,22.0,22.0,18.0,-53.0,9.903005464480874,12.664267249459076,15.425529034437275,16.806159926926377,8.0,7.0,7.0
20220920_1,37.0,11.0,19.07706347596836,16.724182721304825,14.371301966641289,13.194861589309518,22.0,22.0,22.0,21.0,-19.0,11.877509632934496,14.263830343809442,16.65015105468439,17.843311410121864,9.0,8.0,8.0
