,0,1,2
0,20231016,20230922_2,6357.160950171709
1,20231016,20230925_0,4034.608457650533
2,20231016,20230925_1,2681.243544820787
3,20231016,20230925_2,6238.755455627811
4,20231016,20230926_0,3853.0639624590017
5,20231016,20230926_1,2711.3501082332346
6,20231016,20230926_2,6234.788398097272
7,20231016,20230927_0,4005.73452835365
8,20231016,20230927_1,2741.5335990270655
9,20231016,20230927_2,6399.943434715518
10,20231016,20230928_0,3992.7931236309646
11,20231016,20230928_1,2626.8043028201673
12,20231016,20230928_2,0.0
13,20231016,20231009_0,4013.5148372678213
14,20231016,20231009_1,2727.701302481638
15,20231016,20231009_2,6118.589514217904
16,20231016,20231010_0,4091.3724989485613
17,20231016,20231010_1,2714.1834585220026
18,20231016,20231010_2,6414.339769331078
19,20231016,20231011_0,3822.100337678479
20,20231016,20231011_1,2640.0468131300286
21,20231016,20231011_2,6271.077629764248
22,20231016,20231012_0,4047.009860987073
23,20231016,20231012_1,2751.944020366946
24,20231016,20231012_2,6377.317106861739
25,20231016,20231013_0,4002.3327113214236
26,20231016,20231013_1,2646.88195980264
27,20231016,20231013_2,6600.974163391449
28,20231016,20231016_0,4083.8300783875065
29,20231016,20231016_1,2667.976562672491
30,20231017,20230925_2,6576.110674555112
31,20231017,20230926_0,4061.415010330848
32,20231017,20230926_1,2857.963982724255
33,20231017,20230926_2,6571.929101874679
34,20231017,20230927_0,4222.34110291627
35,20231017,20230927_1,2889.7796192588776
36,20231017,20230927_2,6746.014751967291
37,20231017,20230928_0,4208.699903105526
38,20231017,20230928_1,2768.846437178501
39,20231017,20230928_2,0.0
40,20231017,20231009_0,4230.5421251979915
41,20231017,20231009_1,2875.1993534329513
42,20231017,20231009_2,6449.446865459852
43,20231017,20231010_0,4312.609871516331
44,20231017,20231010_1,2860.950543940068
45,20231017,20231010_2,6761.18955572634
46,20231017,20231011_0,4028.7770547497494
47,20231017,20231011_1,2782.80502459645
48,20231017,20231011_2,6610.180641854714
49,20231017,20231012_0,4265.848362890952
50,20231017,20231012_1,2900.7529749845053
51,20231017,20231012_2,6722.164925317811
52,20231017,20231013_0,4218.7553356173885
53,20231017,20231013_1,2790.009775818965
54,20231017,20231013_2,6957.916040639671
55,20231017,20231016_0,4304.659601191374
56,20231017,20231016_1,2812.245050802022
57,20231017,20231016_2,7060.647551552818
58,20231017,20231017_0,4255.710491634758
59,20231017,20231017_1,2801.9558987935648
60,20231018,20230926_2,6825.555229609131
61,20231018,20230927_0,4385.291129811902
62,20231018,20230927_1,3001.302979215621
63,20231018,20230927_2,7006.359252441723
64,20231018,20230928_0,4371.123484168888
65,20231018,20230928_1,2875.702702556135
66,20231018,20230928_2,0.0
67,20231018,20231009_0,4393.80864874058
68,20231018,20231009_1,2986.1600268017164
69,20231018,20231009_2,6698.346116982372
70,20231018,20231010_0,4479.043581495041
71,20231018,20231010_1,2971.3613223966263
72,20231018,20231010_2,7022.119687399295
73,20231018,20231011_0,4184.256991928334
74,20231018,20231011_1,2890.199984537062
75,20231018,20231011_2,6865.282986056906
76,20231018,20231012_0,4430.477436791605
77,20231018,20231012_1,3012.6998224253343
78,20231018,20231012_2,6981.589005153725
79,20231018,20231013_0,4381.566979359326
80,20231018,20231013_1,2897.6827839742687
81,20231018,20231013_2,7226.438307866424
82,20231018,20231016_0,4470.786491628105
83,20231018,20231016_1,2920.7761702676644
84,20231018,20231016_2,7333.134468261528
85,20231018,20231017_0,4419.948321352718
86,20231018,20231017_1,2910.0899357981634
87,20231018,20231017_2,6927.905239964004
88,20231018,20231018_0,9680.9027073116
89,20231018,20231018_1,11989.151872370834
90,20231019,20230927_2,5535.602750020656
91,20231019,20230928_0,3453.608603058775
92,20231019,20230928_1,2271.985011696565
93,20231019,20230928_2,0.0
94,20231019,20231009_0,3471.7205459801276
95,20231019,20231009_1,2359.229455700565
96,20231019,20231009_2,5292.014329695972
97,20231019,20231010_0,3538.706941836192
98,20231019,20231010_1,2347.496391625104
99,20231019,20231010_2,5547.803434616985
100,20231019,20231011_0,3305.763933967106
101,20231019,20231011_1,2283.388845365632
102,20231019,20231011_2,5424.003018762899
103,20231019,20231012_0,3500.409419872636
104,20231019,20231012_1,2380.213890534476
105,20231019,20231012_2,5515.810443172602
106,20231019,20231013_0,3461.6956336166777
107,20231019,20231013_1,2289.2988963173793
108,20231019,20231013_2,5709.24513180042
109,20231019,20231016_0,3532.2474309225227
110,20231019,20231016_1,2307.5687656147684
111,20231019,20231016_2,5793.6256172712565
112,20231019,20231017_0,3492.158345205625
113,20231019,20231017_1,2299.138088611319
114,20231019,20231017_2,5473.544733485902
115,20231019,20231018_0,7648.318723663297
116,20231019,20231018_1,9471.802556554521
117,20231019,20231018_2,6170.34095825576
118,20231019,20231019_0,13867.551168297292
119,20231019,20231019_1,9464.528980773288
120,20231020,20230928_2,0.0
121,20231020,20231009_0,3391.8668767741437
122,20231020,20231009_1,2304.9643943163283
123,20231020,20231009_2,5170.291755508318
124,20231020,20231010_0,3457.3125064812207
125,20231020,20231010_1,2293.5012045596804
126,20231020,20231010_2,5420.197409183664
127,20231020,20231011_0,3229.7274626670933
128,20231020,20231011_1,2230.8682075114166
129,20231020,20231011_2,5299.244548979361
130,20231020,20231012_0,3419.895872714103
131,20231020,20231012_1,2325.466162387316
132,20231020,20231012_2,5388.940294294399
133,20231020,20231013_0,3382.0725492245024
134,20231020,20231013_1,2236.642320317383
135,20231020,20231013_2,5577.92575682983
136,20231020,20231016_0,3451.0015719408225
137,20231020,20231016_1,2254.4919610623906
138,20231020,20231016_2,5660.365391565423
139,20231020,20231017_0,3411.834582500745
140,20231020,20231017_1,2246.2551995782633
141,20231020,20231017_2,5347.646745804252
142,20231020,20231018_0,7472.398367962859
143,20231020,20231018_1,9253.939920977105
144,20231020,20231018_2,6028.415835181206
145,20231020,20231019_0,13548.58112764339
146,20231020,20231019_1,9246.833646021698
147,20231020,20231019_2,5761.034331842837
