,trade_day,date_section,vot
0,20230824,20230726_2,9852.57017304963
1,20230824,20230727_0,5833.245092283936
2,20230824,20230727_1,3875.8692288286243
3,20230824,20230727_2,9116.891647369028
4,20230824,20230728_0,5425.163630207236
5,20230824,20230728_1,3741.529218745916
6,20230824,20230728_2,9217.232171223333
7,20230824,20230731_0,5739.857720317795
8,20230824,20230731_1,3684.824764942838
9,20230824,20230731_2,9217.185051232822
10,20230824,20230801_0,5636.263846086078
11,20230824,20230801_1,3651.497454555442
12,20230824,20230801_2,9060.890747924843
13,20230824,20230802_0,5512.93359888667
14,20230824,20230802_1,3780.3231849953863
15,20230824,20230802_2,9309.704795078647
16,20230824,20230803_0,5697.046593522562
17,20230824,20230803_1,3780.691284338208
18,20230824,20230803_2,8629.351675131169
19,20230824,20230804_0,5735.159637924273
20,20230824,20230804_1,3702.722048064099
21,20230824,20230804_2,9984.952919845424
22,20230824,20230807_0,5668.494450920205
23,20230824,20230807_1,3680.0460789995204
24,20230824,20230807_2,9027.897608461222
25,20230824,20230808_0,12121.962509976305
26,20230824,20230808_1,14103.42359219137
27,20230824,20230808_2,8915.192187415594
28,20230824,20230809_0,5179.493048116391
29,20230824,20230809_1,3513.8856955512
30,20230824,20230809_2,9322.52715654559
31,20230824,20230810_0,5530.12071353299
32,20230824,20230810_1,3597.7008572139134
33,20230824,20230810_2,9176.14319853608
34,20230824,20230811_0,5628.939858368375
35,20230824,20230811_1,3715.9166522969344
36,20230824,20230811_2,9701.349553515522
37,20230824,20230814_0,5780.126599526854
38,20230824,20230814_1,3619.662916134513
39,20230824,20230814_2,9183.09187512515
40,20230824,20230815_0,22549.02301113008
41,20230824,20230815_1,4084.111817417321
42,20230824,20230815_2,9541.378413714563
43,20230824,20230816_0,5739.103632740962
44,20230824,20230816_1,3782.52508022707
45,20230824,20230816_2,9559.33672190314
46,20230824,20230817_0,5692.259224028226
47,20230824,20230817_1,3872.197739532363
48,20230824,20230817_2,9430.564019192241
49,20230824,20230818_0,12226.291118480969
50,20230824,20230818_1,14956.8910647054
51,20230824,20230818_2,8177.336541335202
52,20230824,20230821_0,5754.154165215447
53,20230824,20230821_1,3707.4902834394193
54,20230824,20230821_2,9761.70792438203
55,20230824,20230822_1,3850.23363207292
56,20230824,20230822_2,7155.866058937834
57,20230824,20230823_0,5078.513225035901
58,20230824,20230823_1,3349.9038931178934
59,20230824,20230823_2,7346.219659660991
60,20230824,20230824_0,4999.788787120237
61,20230824,20230824_1,3307.8489711334137
62,20230825,20230727_2,8616.206771277975
63,20230825,20230728_0,5127.222458475983
64,20230825,20230728_1,3536.050513312419
65,20230825,20230728_2,8711.322419966857
66,20230825,20230731_0,5424.634060474593
67,20230825,20230731_1,3482.4601759784555
68,20230825,20230731_2,8710.992224358919
69,20230825,20230801_0,5326.729393495708
70,20230825,20230801_1,3450.9631473271133
71,20230825,20230801_2,8563.281350240653
72,20230825,20230802_0,5210.172243084736
73,20230825,20230802_1,3572.7139779681465
74,20230825,20230802_2,8798.430934199389
75,20230825,20230803_0,5384.174051203168
76,20230825,20230803_1,3573.0618618931508
77,20230825,20230803_2,8155.441702157429
78,20230825,20230804_0,5420.193989132649
79,20230825,20230804_1,3499.3745693903143
80,20230825,20230804_2,9436.595529101342
81,20230825,20230807_0,5357.189945880833
82,20230825,20230807_1,3477.9439277027063
83,20230825,20230807_2,8532.100140388917
84,20230825,20230808_0,11456.244024768755
85,20230825,20230808_1,13328.886483838902
86,20230825,20230808_2,8425.584317942643
87,20230825,20230809_0,4895.043705586473
